Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
,0:12:44,157,,,,,,,,
,0:12:45,156,,,,,,,,
,0:12:46,156,,,,,,,,
,0:12:47,154,,,,,,,,
,0:12:48,154,,,,,,,,
,0:12:49,154,,,,,,,,
,0:12:50,152,,,,,,,,
,0:12:51,151,,,,,,,,
,0:12:52,150,,,,,,,,
,0:12:53,149,,,,,,,,
,0:12:54,148,,,,,,,,
,0:12:55,147,,,,,,,,
,0:12:56,146,,,,,,,,
,0:12:57,145,,,,,,,,
,0:12:58,144,,,,,,,,
,0:12:59,143,,,,,,,,
,0:13:00,143,,,,,,,,
,0:13:01,143,,,,,,,,
,0:13:02,142,,,,,,,,
,0:13:03,141,,,,,,,,
,0:13:04,140,,,,,,,,
,0:13:05,139,,,,,,,,
,0:13:06,139,,,,,,,,
,0:13:07,139,,,,,,,,
,0:13:08,139,,,,,,,,
,0:13:09,138,,,,,,,,
,0:13:10,137,,,,,,,,
,0:13:11,137,,,,,,,,
,0:13:12,138,,,,,,,,
,0:13:13,138,,,,,,,,
,0:13:14,138,,,,,,,,
,0:13:15,137,,,,,,,,
,0:13:16,136,,,,,,,,
,0:13:17,136,,,,,,,,
,0:13:18,135,,,,,,,,
,0:13:19,135,,,,,,,,
,0:13:20,136,,,,,,,,
,0:13:21,136,,,,,,,,
